x      y     year spoligotype
234800 62300 2000 9
242500 61500 1992 9
242500 61500 2002 9
240500 63200 1996 11
232300 59300 1991 9
234500 57900 2002 15
240500 60800 1990 9
237700 54400 2000 15
210800 82900 1990 15
210400 81400 1990 15
211900 81400 1991 15
211600 82900 2000 15
211600 82900 1994 15
211600 82900 1991 15
212300 83200 2000 9
209700 80400 1993 15
209700 80400 1995 15
210800 80000 1991 15
214600 86900 1998 9
214100 86000 1992 15
215000 87300 1996 9
217700 85600 2001 9
218000 87900 1996 9
217500 86400 1999 9
217500 86400 1999 9
217200 85500 1999 11
214200 87500 1997 9
216200 88000 1996 9
215900 86300 1998 9
217600 88000 1998 9
220600 86400 1992 15
216700 86200 1999 9
209300 86800 2000 9
210900 83500 1991 9
207700 80900 1989 12
207600 81400 1989 15
207600 81400 2002 15
211900 83700 1990 15
210500 84500 2002 9
207500 82500 1997 15
207300 78800 2001 15
207800 79300 1992 15
208000 78900 1990 15
217000 88300 1999 9
217000 88300 1996 9
217000 88300 2002 9
217400 91900 1998 9
217400 91900 2000 11
216500 89800 1998 9
215400 91700 2000 9
217500 90200 1998 9
217500 90200 2001 9
217300 89000 1999 9
216700 86200 2002 9
213700 89200 2002 9
218100 83700 1999 9
220300 84900 2002 9
220300 84900 1999 9
218100 82900 1998 15
218100 82900 2000 15
219500 88500 2000 9
211600 91200 1989 15
213100 91300 1999 100
213100 91300 2002 9
211800 91700 1999 9
212400 91600 1998 9
214200 91800 2002 9
203600 80800 1999 15
206600 84000 1991 15
205100 81800 2001 15
206100 83600 1992 9
206100 83600 2002 15
206800 83800 2000 15
206800 83800 1989 15
205300 80500 2001 15
204600 83200 2002 15
207500 82500 1989 15
206500 79300 2000 15
206500 79300 1999 11
207000 82900 2000 11
207400 82100 1989 15
209000 85600 2002 15
205700 80400 2002 15
204900 79900 2001 15
204900 79900 1998 15
204900 79900 2000 17
206900 85500 1999 15
205600 85400 1999 15
207300 87600 2001 9
205600 85900 1999 15
220800 88000 2002 9
221800 86900 1998 9
221800 86900 1996 9
208100 90100 1991 9
209300 88700 1999 15
218900 93000 1998 9
218800 93400 1999 9
219800 89600 2000 9
222500 92600 2000 9
218500 90400 1998 9
220500 90400 1999 9
219000 90300 1999 9
219000 90300 2002 9
220900 89900 2000 9
219200 88800 2000 9
221800 91300 2000 9
217100 98600 2000 9
214400 95200 2002 9
215100 96900 2000 9
218700 96600 1999 9
217000 98800 1999 9
213600 95300 2000 9
216900 97900 1999 9
216800 97600 1999 9
216400 97000 2002 9
215100 96300 1999 9
216800 98700 2000 100
185400 60800 1990 15
187700 67600 1995 15
187700 67600 1993 15
198600 70300 2000 15
200400 65300 1996 15
198300 72200 1999 15
197600 70400 2000 15
193400 63300 1996 15
194500 64000 1999 15
194500 62000 2001 15
192800 66600 2000 15
187600 62700 2001 15
187600 62700 1997 17
193400 62700 1997 15
191000 64500 2002 15
192700 64400 1999 15
191300 68300 1991 12
184600 55800 2002 15
182600 51800 1992 12
183700 56400 1999 15
195200 64800 1999 15
195500 65900 2002 15
195500 65900 1996 15
197200 66000 2002 15
196200 65100 1990 15
196200 65100 1996 9
197700 67300 2001 15
194700 66300 1998 15
196700 64500 2000 15
197300 66400 1994 15
198300 66100 1990 15
198300 66100 1993 15
197700 63800 2000 15
198300 66100 2000 15
196000 64000 1997 15
199400 67300 1999 15
200300 66300 2001 15
198800 66300 1998 100
198600 67400 2000 15
200500 65600 1995 15
189300 44900 1998 100
189300 45100 2002 12
191200 44800 2002 9
221800 92300 2000 9
220400 93200 2000 100
219200 94800 1999 12
226500 104300 2000 9
221200 94300 1998 9
221200 94300 1997 9
228300 111200 1995 9
228300 111200 2000 9
221500 105500 1995 9
223500 109600 1994 9
225200 113300 1994 9
225200 113300 1998 9
226800 113600 2002 9
227200 111800 2001 9
220600 109200 1996 9
225000 112000 1994 100
225400 112300 1994 9
225400 112300 1998 9
225400 112300 2001 9
228400 111000 1997 9
227800 110800 1995 9
227500 111200 2000 9
227300 111400 1994 9
222300 107100 1996 9
222300 107100 1994 9
222300 107100 1995 9
222300 107100 2000 9
222100 110200 2001 9
228500 111000 1995 9
227500 114000 2001 9
226100 112600 2000 9
226100 112600 1994 9
227100 113600 1999 9
220900 112500 2000 9
220900 112500 1996 9
224700 112900 1994 9
223900 104200 1998 9
223900 104200 1993 9
223900 104200 1997 9
224500 105800 1997 9
227500 108800 2002 9
228400 109600 1993 9
228400 109600 2002 9
226300 108200 1996 17
226500 104100 2002 9
224300 107100 1991 9
227700 105700 2000 9
224900 107200 1991 9
224900 107200 1997 9
224900 107200 2001 9
228000 106700 2001 9
228000 106700 1996 9
225500 105800 1997 9
225800 105400 1997 9
225300 104800 1997 9
225300 104800 1999 9
225300 104800 2000 15
223100 105300 2001 9
225000 107600 1996 9
221200 103900 1991 9
225400 103500 1997 9
221000 116300 1991 9
223400 115600 1991 9
225400 116700 1989 9
223900 114700 2000 9
223900 114700 1993 9
223900 114700 1998 9
222700 116500 1991 9
223000 111900 2000 9
223000 111900 2002 9
223000 116000 1991 9
220800 115700 2002 9
220800 115700 2000 9
220800 115700 1991 9
221800 116200 1991 9
221800 116200 1992 9
222600 113700 2000 9
224200 115700 1990 9
224200 115700 1992 9
223300 114100 1996 9
223300 114100 2000 9
224600 113600 2001 9
226700 115500 2001 9
221000 114000 1997 9
220900 113900 2002 9
225100 116000 1993 9
225100 116000 1999 9
224200 116900 1994 9
225800 115900 1990 9
231400 99400 1999 9
231800 94100 2001 9
231500 98300 2002 9
231200 95400 1999 9
231000 98300 1999 9
231000 98300 2001 9
229400 98500 1998 9
230800 97100 2000 9
229100 97600 2000 9
231500 96600 1999 9
230000 98000 1998 9
231400 99100 1998 9
218700 97500 2002 9
218700 97500 1996 9
221600 101600 1991 9
221300 98900 1997 9
220900 98800 2002 9
219400 96600 2000 15
219400 98200 2000 9
219400 98200 1999 9
219400 98100 1997 9
219400 98100 1999 9
220200 98200 1999 17
219400 98200 1999 9
220300 98300 1996 9
220300 98300 1998 9
222700 105500 1991 9
222500 103700 1991 9
222400 108200 1992 9
223000 106200 1991 9
224000 98000 1998 9
224000 98000 1997 9
223500 100400 2000 15
223000 100100 1999 9
224000 96800 2002 9
224200 100800 1996 9
221900 93600 2002 9
222400 95600 1997 9
221900 94200 1997 9
224600 94500 1997 9
224600 94500 1998 9
223200 95400 1998 9
225000 95800 2001 9
221100 96800 1999 9
227300 100300 1999 9
227400 99400 2000 9
225900 99200 1989 9
228500 98700 2002 9
228500 98700 2000 15
225800 100500 1989 9
225100 101300 2002 9
225600 99800 1989 100
227700 98200 1999 9
225300 101200 2002 9
210200 73500 1991 15
211900 75200 2000 15
212500 67900 1989 15
212700 63500 1996 12
213900 67400 1989 15
212200 71300 1989 15
202700 70300 2002 15
202700 70300 2000 15
203400 69300 1997 15
203400 69300 2000 15
208300 69500 2002 15
205200 62100 1995 15
203300 66400 2002 15
205200 62200 2002 15
205200 62200 1992 15
204500 64300 2002 15
205700 63500 2002 15
205400 62300 1992 15
203200 67700 2002 15
204000 66300 2001 15
205200 62100 1989 12
201600 62800 2002 15
211100 76200 1998 15
209600 78100 1989 100
202300 80400 2000 17
198600 80300 1999 9
201400 79500 2000 9
201400 79500 1996 9
196800 79400 2000 15
201400 79400 2000 15
201800 78800 2002 15
204400 79100 2000 15
204400 79100 1998 15
203400 79300 1999 15
201800 77900 2000 15
204400 73600 1998 15
204200 72500 2001 100
204800 74700 2000 15
195500 75400 1999 9
196200 79400 1997 12
196200 79400 2000 15
195600 78400 1999 15
195600 78400 1996 9
206300 77900 2000 15
206300 77900 1998 9
206300 77900 1999 15
204700 75800 2001 15
205200 76900 2000 15
205200 76900 1999 11
205200 76900 1989 15
207800 62600 2001 15
207800 63300 1993 15
206200 58200 1996 15
206300 59300 2000 15
206100 59100 2002 15
208800 58300 2002 15
209900 56900 1998 15
206300 60200 1992 15
203300 61300 2000 15
205500 56500 1997 15
205500 56500 2000 15
204700 58900 1999 15
204000 57800 1998 9
206200 58100 2002 15
206200 58100 2001 15
204900 60400 1993 15
204900 57500 1997 15
206300 53000 1993 15
210500 57100 1997 15
210700 54600 1996 15
208300 56900 2001 15
208800 55300 1998 15
208200 55400 1998 100
216600 61200 1999 9
215500 58900 1999 9
213500 64300 1997 9
215900 62800 1999 9
224200 58200 1996 9
220900 57500 1997 9
223500 57200 2001 9
223500 56500 1998 9
223500 56500 2000 9
223500 58400 1998 9
222900 60100 1998 9
218600 52600 1999 15
213500 53400 1998 9
226100 66900 1995 9
223400 66500 1994 9
223400 66500 2000 9
223400 66500 1990 9
226400 66400 1990 9
224800 66800 2000 9
220400 65200 1992 9
221600 66500 1992 9
225600 59900 1996 9
225300 58800 1998 9
219600 64100 2000 100
220800 63800 2002 15
225900 61100 2002 9
225900 61100 1999 9
223600 62300 1999 9
227500 66300 1992 11
228800 62600 1993 9
229700 62400 1998 9
226900 65500 1999 15
228300 63200 1998 9
231100 66500 2000 9
231400 62600 2000 9
230800 68800 1999 9
228000 63000 1998 9
226900 59900 2001 9
228500 58200 1999 9
228500 58200 1996 12
229000 58600 2000 9
226800 56500 1998 9
228700 58300 1993 9
228300 58200 1996 9
228200 59600 1989 9
225700 56700 2000 9
229800 57800 1991 9
219100 55600 1999 9
226900 67700 1996 9
222900 68500 1996 9
223500 72600 1989 15
228200 68000 1993 9
228200 68000 1992 9
224000 67500 1990 9
223000 67400 1996 9
219000 78700 1999 9
232000 61000 2001 9
223700 71700 2002 9
225100 67100 1990 15
220700 73300 1997 9
228800 68500 1992 9
228800 68500 1993 9
225100 68700 1992 9
224500 70300 1996 9
223500 68300 1991 9
221200 73700 1993 15
225500 69000 1999 9
226400 68900 1991 9
221300 67400 1990 15
221300 67400 2001 9
221600 66500 1995 9
225400 73200 1999 9
225400 73200 2002 9
224100 60100 1998 9
224100 60100 1996 9
227900 55400 2002 9
219600 66300 2000 9
219600 66300 1997 9
216700 65800 1989 15
217100 71100 1997 9
218200 66500 1998 9
221800 73300 1997 9
218900 69800 2002 9
221100 68600 2002 15
218800 65900 1999 9
219000 62800 1995 15
222300 62100 1995 9
222300 62100 1998 9
219100 63700 1992 9
220300 62100 2000 9
222100 62600 1996 9
213700 53200 2000 9
214600 55400 2000 9
214400 54400 2002 9
213500 59000 1999 9
213500 59000 1998 9
213500 59000 2000 9
213800 59900 1998 9
213800 59900 1991 15
214500 58800 2001 9
214500 58800 1999 9
214500 58800 1991 15
213000 58200 1998 9
213000 58200 2000 9
212300 58800 2000 9
212300 58800 1998 9
212300 58800 1997 9
213300 59600 1998 9
213800 58300 2000 9
157800 30800 1998 20
156800 28700 2002 20
160500 30300 1998 20
159800 26800 2002 20
161700 27700 1999 20
161100 26900 1998 20
158500 28900 2000 20
161100 29700 1998 20
162500 27000 2000 20
167000 23800 2002 12
159700 29600 2001 20
157700 30200 2000 20
158200 29900 1997 20
158700 30200 1999 20
165200 28400 1997 20
167800 26200 1994 9
165800 26500 1998 20
168000 26500 2000 12
166900 24100 2000 12
167600 24400 2000 12
166500 23900 1998 20
166500 23900 1997 20
166400 23900 2002 12
169300 28000 1993 12
168500 27500 1998 12
168600 39900 1996 12
168600 39900 1998 12
169100 40800 2001 20
168000 43200 1990 12
167900 38900 1997 12
167100 39700 1998 12
167100 39700 2002 12
168400 43400 1990 12
168300 37700 2002 20
168000 37400 1995 12
168200 41500 2002 12
168200 41500 1995 12
169400 40200 2001 12
167800 42600 1990 12
178600 24600 1998 12
175300 21300 2000 20
182100 59000 1999 11
164600 31200 1997 20
164600 31200 1999 17
164000 28900 2002 20
167200 31000 1999 12
167200 31000 2000 20
165800 32000 1999 20
165800 32000 2002 20
165800 32000 1998 20
164200 31700 1998 20
165300 32400 1998 43
168500 31400 1998 12
168600 31400 1998 12
167000 32400 1999 20
167000 32400 2002 100
167000 32400 2000 20
166900 32600 1998 12
167400 31800 1999 12
167400 31800 2000 43
168400 29800 1989 12
169800 37200 1999 100
167800 36000 1990 12
167800 36000 1989 12
167800 36000 1991 12
168400 32600 1999 12
167500 32200 2002 20
167700 31900 1998 12
167100 30100 1998 20
168300 33400 2001 12
168300 33400 2000 12
169900 33800 1992 12
170300 34800 1991 12
168100 33200 2000 20
169300 30400 1998 12
168800 36700 1992 12
168800 36700 1998 100
167400 27200 1999 12
169400 32300 1997 100
169400 32300 1999 12
167100 33100 2002 20
167100 33100 2000 20
167000 34000 1992 12
168200 37500 2002 20
168200 37500 1992 12
167900 31100 1998 12
169600 38400 1999 12
168000 36800 1990 12
167900 34900 2001 20
167900 31000 1996 9
167900 31000 1989 12
168000 28500 1996 20
167800 31500 1998 100
167800 31500 2002 12
168100 35700 1990 12
168100 35700 1999 12
168600 35200 2002 12
168700 36300 1992 12
168100 36400 2000 100
171800 32800 1998 12
168900 33600 1999 12
150700 35700 2000 20
146000 35300 1998 9
146000 35300 2000 9
144900 33800 1997 9
145600 32900 1997 9
142900 32200 1991 20
146200 32000 1997 9
154600 31200 1991 20
144500 28200 1996 20
145000 27700 1996 20
146800 27200 2000 9
145700 27900 1996 20
139700 25300 1990 20
139500 27000 1997 20
138400 26200 1992 20
141800 27600 1991 20
140500 25100 1989 20
141900 24400 1993 20
139100 26300 2002 20
142000 26500 1989 20
142000 27100 1990 20
142000 27100 1996 20
139600 28400 1993 20
139600 28400 1996 20
141900 24500 1998 9
154800 33700 2001 20
156500 30200 2001 20
139200 34600 1996 20
136500 28500 1996 20
136400 29200 1996 20
139000 34000 1996 20
136900 27500 1992 20
139100 34300 1996 9
138800 35100 1996 20
138500 35000 1997 20
137300 32000 2001 9
137600 23200 1996 20
140300 28400 2002 20
140300 28400 1996 20
136600 24900 1991 20
148900 37000 1998 9
148700 36300 2002 9
148700 36300 2000 9
148700 36300 1998 9
148900 38400 1998 9
149300 38200 1997 9
148400 39900 2000 9
149400 36400 1999 9
145800 36200 1996 20
145400 38400 1996 9
145400 38400 1997 9
145400 38600 1998 9
144300 37500 1997 9
179700 39300 1996 12
176700 44500 1998 20
176000 45900 2002 9
191800 52600 1999 9
177500 50400 1998 9
170400 49800 1998 20
180500 49500 1999 9
172000 39200 2000 12
170600 39600 1991 9
171000 39000 1997 12
171000 39000 1992 12
170900 40700 2002 12
161800 41900 2000 20
157100 37600 1998 20
225900 90800 1998 9
224200 90200 1997 15
224200 90200 1999 9
224200 90200 2001 9
228200 88700 1997 9
228200 88700 1998 9
229200 90800 1999 9
229200 90800 1998 9
226000 92500 1997 9
225700 94000 1998 9
228200 88800 1997 9
224500 92900 1999 9
226500 89600 2001 9
226600 89600 1999 9
229500 90200 2000 9
220700 96600 1998 9
225400 92100 2002 15
225000 91700 2002 9
228500 92500 2001 9
227100 94100 2001 9
230600 88600 1998 9
231000 89100 2000 9
231000 89100 2002 9
232800 90100 1999 9
233500 87200 1999 9
233400 89500 2000 9
232700 88900 1999 100
232400 57300 1992 9
233800 55200 1993 9
231500 56600 1999 9
232100 55000 1998 9
230500 59200 1992 9
221100 82600 2002 9
