"x" "y" "year"
166394 32337 2002
165827 32982 1999
165316 33726 1998
158079 32653 2002
160101 36025 2000
160591 38951 1999
158855 41914 1998
159050 38164 2002
173385 39458 2000
153559 38509 2002
148403 40580 2000
166559 37443 1998
162433 39831 1999
166064 40551 1989
167158 39626 1989
162260 43086 2000
165915 39092 2000
166507 38836 1998
161392 41161 2000
162133 38667 2002
168460 44475 1992
167305 45725 1990
169396 42947 2000
169944 41371 1991
167973 43353 2002
163669 41537 1998
163166 42359 2001
163920 44510 2002
198598 41637 1998
200278 41544 1996
195920 48314 2000
171827 43059 2000
171026 41275 1996
170106 41580 1999
172207 41896 1995
195114 58656 2001
196294 57370 2000
199140 50831 1996
199263 52550 2001
200608 59472 1989
199351 59869 2001
197533 58169 2000
198722 58896 2000
198849 60177 2000
200882 58852 2002
198014 62744 1990
232243 56097 1998
234565 62479 2000
241978 60917 1992
242345 61130 2002
239918 62225 1996
231952 59307 1991
235483 58675 2002
240091 60002 1990
237145 54974 2000
210726 82855 1990
211331 80473 1990
211262 80736 1991
212038 83727 2000
211526 82528 1994
210801 83831 1991
213049 83968 2000
210411 80800 1993
209475 80031 1995
210228 80865 1991
213796 87220 1998
214853 85804 1992
215703 87320 1996
216826 84642 2001
218686 88707 1996
217798 86437 1999
217016 86309 1999
217363 85996 1999
214248 88485 1997
216627 88778 1996
216358 87039 1998
217596 87789 1998
221509 86214 1992
216194 86508 1999
209387 87427 2000
210975 82755 1991
207766 80553 1989
206875 81005 1989
207201 81131 2002
212542 83538 1990
211069 83828 2002
207370 83261 1997
206353 78608 2001
208424 80058 1992
208195 77939 1990
217237 88378 1999
216085 87719 1996
216591 87745 2002
217102 91305 1998
216444 91573 2000
217405 89093 1998
216208 91097 2000
217182 89833 1998
218127 89980 2001
217587 89661 1999
217509 86055 2002
213141 88572 2002
218211 82949 1999
219507 84776 2002
219682 84188 1999
217445 82813 1998
218560 83220 2000
218758 89470 2000
211198 91622 1989
213640 92139 1999
213804 91194 2002
212749 91095 1999
212806 91698 1998
213704 91956 2002
204520 81084 1999
205709 83119 1991
204935 82741 2001
206738 82719 1992
206295 83526 2002
206143 83018 2000
206303 83078 1989
204985 79739 2001
205239 83790 2002
207530 81579 1989
205719 79553 2000
205785 78887 1999
206212 82921 2000
207026 82514 1989
208862 85929 2002
204847 81354 2002
205590 79009 2001
205897 79891 1998
204652 79198 2000
206076 85417 1999
205200 85165 1999
207320 87361 2001
205892 85788 1999
220694 87990 2002
221523 87680 1998
222684 87499 1996
208998 90884 1991
209120 88084 1999
219578 92555 1998
218019 94249 1999
219893 89705 2000
221722 91977 2000
219123 91372 1998
220652 90371 1999
219367 91257 1999
219323 91214 2002
220173 90292 2000
218561 88743 2000
222446 90845 2000
216695 97874 2000
215287 95343 2002
215694 95937 2000
218128 96270 1999
217349 97862 1999
213797 95494 2000
216796 97177 1999
216139 97080 1999
215981 97086 2002
214658 96318 1999
215897 99606 2000
185537 61105 1990
187459 67184 1995
188688 68109 1993
198193 70640 2000
200619 65516 1996
198213 72379 1999
197483 69934 2000
192604 63951 1996
194403 63167 1999
194540 61126 2001
193398 67044 2000
186848 63605 2001
186704 62615 1997
192888 63404 1997
190266 64096 2002
193525 64089 1999
191252 68878 1991
183872 55761 2002
181632 51418 1992
183687 56055 1999
195692 65540 1999
195443 65661 2002
196024 65605 1996
196468 66324 2002
196602 64474 1990
196068 64289 1996
196833 67928 2001
193876 66432 1998
195783 65153 2000
196743 66769 1994
199253 66666 1990
199111 66098 1993
198334 64517 2000
197576 66476 2000
195561 64196 1997
198958 66952 1999
200526 65546 2001
198550 66764 1998
199383 66769 2000
200612 64765 1995
188706 44516 1998
188926 45649 2002
191097 45308 2002
222209 92668 2000
220238 92470 2000
218403 95147 1999
226130 103685 2000
221635 95200 1998
220342 94610 1997
228619 111149 1995
227462 110769 2000
222121 106181 1995
223554 110283 1994
225555 112803 1994
224397 113208 1998
226609 113505 2002
226752 112449 2001
219635 109991 1996
224060 111689 1994
224708 112423 1994
226021 113220 1998
225085 112874 2001
228342 110725 1997
228302 110423 1995
227553 111977 2000
226918 111037 1994
221436 107805 1996
222645 107185 1994
223190 107715 1995
221661 106894 2000
221785 111130 2001
227735 110807 1995
227368 114640 2001
225986 113205 2000
225129 112723 1994
226851 114336 1999
221682 112792 2000
221860 111890 1996
224239 112557 1994
223127 103783 1998
223129 103289 1993
224834 105101 1997
225081 106260 1997
227913 108879 2002
229045 109253 1993
227670 108616 2002
227102 109105 1996
226347 103566 2002
223709 107984 1991
228118 106691 2000
225386 107543 1991
225565 107085 1997
225454 107912 2001
227823 105831 2001
227550 106881 1996
226330 105177 1997
225259 105192 1997
225038 105690 1997
224934 104781 1999
224584 105611 2000
222454 105667 2001
225990 108327 1996
221056 103095 1991
225846 103286 1997
220257 115550 1991
222566 114839 1991
225538 117360 1989
223897 113702 2000
224470 115360 1993
224651 115590 1998
222538 117055 1991
223650 111470 2000
222976 111674 2002
222562 116230 1991
221290 115510 2002
220493 116291 2000
221612 116523 1991
221340 115475 1991
221492 115691 1992
223132 113340 2000
225032 115260 1990
223616 115330 1992
222670 114546 1996
223712 113171 2000
224135 112632 2001
225828 116239 2001
220412 113237 1997
220252 113708 2002
224718 116712 1993
224543 116574 1999
223363 116737 1994
226498 115254 1990
232269 99434 1999
231735 93130 2001
232073 97949 2002
231585 95235 1999
231491 97416 1999
230170 99099 2001
230120 97776 1998
231370 97650 2000
229115 97504 2000
230629 96244 1999
230167 98578 1998
232165 99353 1998
217736 96945 2002
219280 96907 1996
222129 101869 1991
220514 98091 1997
220238 97971 2002
218540 96961 2000
219479 97568 2000
219896 97753 1999
219506 98255 1997
218840 98803 1999
220910 98201 1999
218468 98547 1999
220283 98590 1996
220990 97748 1998
221990 106362 1991
221926 103870 1991
221983 108041 1992
222218 105321 1991
224478 98317 1998
224321 97516 1997
224026 99683 2000
222385 99240 1999
224177 97033 2002
223570 101172 1996
221367 92811 2002
222890 95547 1997
222176 94653 1997
224320 94557 1997
223811 94420 1998
223062 95440 1998
224356 94893 2001
220776 97536 1999
227759 101203 1999
228345 98556 2000
225915 100013 1989
229303 97710 2002
228460 98442 2000
225290 99512 1989
224265 101802 2002
224671 100248 1989
227023 97697 1999
224347 101970 2002
209297 73291 1991
212253 74905 2000
212639 66941 1989
213469 63630 1996
213346 66922 1989
211899 71189 1989
201751 71196 2002
202583 70947 2000
202772 68785 1997
203979 70106 2000
208998 68753 2002
206059 61658 1995
203957 66267 2002
205144 61726 2002
204214 61752 1992
204833 65292 2002
206127 62660 2002
204728 62056 1992
202829 67506 2002
204221 66194 2001
206133 62062 1989
201456 62119 2002
210480 76128 1998
208737 77790 1989
202283 80553 2000
198344 81021 1999
202022 80049 2000
202084 79372 1996
197295 78632 2000
201187 79804 2000
201766 79105 2002
204536 80047 2000
203656 78223 1998
202624 79663 1999
201537 76934 2000
205186 73142 1998
204236 71546 2001
205504 73790 2000
195175 75201 1999
196102 80297 1997
196728 78593 2000
194659 79260 1999
196274 78187 1996
206714 78463 2000
206461 78449 1998
206072 77559 1999
204759 75657 2001
205697 77899 2000
205065 77102 1999
204321 77620 1989
207294 62559 2001
207623 62398 1993
205294 57272 1996
206436 59204 2000
206250 59814 2002
208670 59072 2002
210877 56551 1998
205736 60276 1992
202674 62256 2000
206274 57153 1997
206297 55775 2000
204973 59284 1999
203703 58756 1998
206148 57745 2002
205770 58862 2001
205792 60114 1993
204901 56907 1997
206179 52154 1993
210236 57339 1997
211351 54804 1996
208189 57046 2001
208751 55505 1998
207850 54870 1998
217227 61849 1999
215860 59760 1999
213180 63822 1997
215653 63286 1999
225020 58761 1996
220288 58273 1997
224304 57777 2001
222885 55915 1998
222861 57068 2000
222986 59396 1998
222464 60535 1998
218109 52862 1999
212978 53874 1998
226737 67718 1995
223773 66168 1994
222449 66889 2000
223694 66624 1990
225537 66892 1990
225318 65988 2000
220386 66157 1992
222084 66822 1992
226518 59725 1996
225736 59367 1998
219149 64099 2000
220296 63941 2002
226889 61110 2002
226692 60987 1999
224446 62323 1999
227176 66972 1992
228590 61721 1993
230503 61980 1998
226273 65784 1999
227745 63938 1998
231623 66240 2000
231482 62890 2000
230104 69661 1999
227984 62917 1998
227647 60036 2001
228272 57688 1999
228109 59064 1996
229374 59404 2000
227141 56807 1998
229018 58928 1993
228735 57343 1996
227248 58912 1989
225496 56758 2000
230778 57454 1991
219126 55911 1999
227583 68207 1996
223303 68801 1996
222508 72895 1989
227771 67660 1993
227941 68577 1992
224991 67771 1990
223221 67080 1996
219332 77781 1999
232577 60466 2001
224497 70889 2002
224197 66820 1990
220316 73903 1997
228736 68710 1992
228344 68426 1993
225954 67927 1992
223755 69684 1996
222962 67662 1991
220880 73248 1993
226413 69369 1999
226235 67948 1991
222082 66919 1990
222033 66935 2001
222387 67458 1995
225141 73901 1999
225028 72369 2002
224668 60380 1998
224391 59126 1996
227844 55134 2002
218606 65640 2000
220463 65473 1997
217016 65030 1989
217282 71320 1997
217938 66371 1998
222715 72898 1997
219001 69792 2002
220757 69116 2002
217879 65255 1999
219537 62866 1995
222159 61617 1995
222979 62577 1998
219105 63762 1992
219885 61662 2000
221790 62330 1996
214560 53451 2000
215093 55486 2000
214045 54744 2002
214467 58070 1999
214411 59499 1998
212780 59111 2000
213047 60170 1998
213474 59749 1991
214194 59183 2001
213691 58801 1999
213901 59191 1991
212982 57487 1998
213560 58201 2000
213191 57827 2000
213219 58478 1998
212117 59618 1997
214073 59641 1998
213157 58831 2000
156879 31122 1998
157554 28288 2002
159637 30369 1998
159528 26894 2002
162126 26783 1999
160970 27093 1998
158887 29085 2000
161764 30470 1998
163314 26010 2000
166053 23146 2002
158764 29965 2001
157638 30081 2000
158617 29870 1997
158107 30305 1999
164369 29257 1997
166844 26549 1994
166579 25729 1998
167968 26532 2000
166442 24626 2000
167888 23423 2000
166723 23939 1998
167288 23195 1997
167135 23227 2002
168695 27477 1993
168452 27095 1998
169273 39305 1996
168251 39476 1998
169795 40949 2001
168938 44063 1990
168598 38698 1997
166377 39198 1998
166624 39863 2002
168397 43473 1990
168579 38369 2002
167947 37819 1995
168374 40547 2002
167299 41266 1995
169305 39716 2001
166841 42244 1990
177759 23668 1998
175933 21426 2000
181289 58624 1999
165422 31005 1997
164714 30323 1999
163990 29595 2002
167984 31583 1999
166807 31211 2000
165465 32371 1999
165540 31457 2002
165737 32623 1998
164035 31491 1998
165597 33278 1998
168243 31113 1998
168298 32299 1998
166724 32789 1999
167453 32108 2002
167692 32001 2000
167409 32380 1998
168050 31843 1999
167410 32547 2000
169272 30328 1989
170547 37471 1999
167266 36181 1990
167831 36301 1989
168343 36637 1991
168318 32295 1999
167497 32916 2002
166803 31713 1998
166905 31039 1998
169040 33627 2001
168093 33253 2000
169502 34041 1992
169525 34042 1991
167183 32900 2000
170176 29700 1998
168931 36782 1992
168774 36507 1998
168158 27001 1999
170067 31995 1997
168432 33213 1999
166195 33292 2002
167605 32618 2000
166885 33465 1992
168916 37211 2002
168373 37890 1992
167223 30776 1998
169466 38038 1999
168554 36031 1990
168134 34378 2001
168680 31670 1996
167359 30968 1989
167731 29351 1996
166810 31447 1998
168566 32260 2002
167142 35247 1990
167243 35963 1999
169352 35754 2002
169682 36440 1992
168751 36218 2000
170956 33522 1998
168315 34433 1999
151525 35763 2000
146986 34791 1998
145282 34574 2000
145095 34005 1997
145792 33389 1997
142452 32924 1991
145561 31065 1997
155115 31656 1991
144648 28632 1996
145480 27379 1996
146110 27790 2000
146402 27475 1996
139624 24766 1990
139492 26932 1997
138978 26426 1992
142384 27638 1991
140314 25337 1989
141037 24022 1993
139364 26718 2002
141698 26617 1989
141626 26861 1990
141624 28072 1996
138651 29240 1993
139338 29229 1996
142147 24366 1998
154994 34316 2001
157336 30224 2001
139746 34926 1996
136161 28282 1996
137171 30157 1996
138073 34782 1996
136156 27694 1992
138947 35223 1996
138975 34788 1996
137774 34570 1997
136851 32333 2001
137870 22995 1996
140594 28352 2002
140318 28382 1996
137069 23926 1991
149698 37751 1998
148180 36210 2002
148026 36269 2000
149175 35449 1998
149167 37647 1998
150270 38134 1997
147987 40274 2000
150105 37234 1999
146210 35827 1996
145669 39111 1996
145120 37520 1997
145759 38648 1998
144645 38227 1997
180216 39272 1996
177063 44160 1998
175917 45930 2002
191735 53479 1999
177801 49933 1998
170187 50485 1998
181436 50427 1999
172607 39272 2000
171280 38836 1991
171348 38982 1997
171682 38873 1992
171358 39895 2002
161903 41767 2000
156543 37043 1998
226669 91599 1998
223519 89890 1997
224269 90438 1999
224910 90070 2001
228330 88139 1997
228283 88956 1998
229240 90305 1999
229272 89911 1998
226094 93384 1997
225952 93258 1998
227729 87956 1997
224180 93002 1999
225825 88760 2001
226309 90377 1999
230473 90658 2000
221472 97431 1998
225123 91906 2002
225262 91023 2002
229274 93465 2001
226760 94473 2001
230347 88417 1998
231856 88842 2000
231413 89560 2002
232403 89209 1999
233574 86249 1999
234078 89582 2000
232811 89777 1999
232558 57105 1992
233038 55295 1993
231669 55846 1999
231251 55789 1998
230850 59505 1992
221952 82573 2002
